Version	1
Run name	C:\Users\Jenny\Desktop\David A\LSPR Lab 18\skalman_lspr.inr
Export time	2018-02-20 16:58
Pos1 sample	Label for Pos1
Pos2 sample	
Spectrometer integration time	3
Spectrometer sample averages	300
pos1-Centroid_x	pos1-Centroid_y	pos1-FWHM(wp)_x	pos1-FWHM(wp)_y	pos1-FWHM(lw*2)_x	pos1-FWHM(lw*2)_y	pos1-Ext@Peak_x	pos1-Ext@Peak_y	pos1-PeakPos_x	pos1-PeakPos_y	pos1-ExtDiff_x	pos1-ExtDiff_y
2.379688E2	7.553840E2	2.379688E2	2.042743E2	2.379688E2	2.250036E2	2.379688E2	6.248802E-1	2.379688E2	7.543587E2	2.379688E2	2.130428E-1
2.398125E2	7.553773E2	2.398125E2	2.043932E2	2.398125E2	2.252477E2	2.398125E2	6.250087E-1	2.398125E2	7.543434E2	2.398125E2	2.131278E-1
2.416406E2	7.553797E2	2.416406E2	2.046508E2	2.416406E2	2.255824E2	2.416406E2	6.251623E-1	2.416406E2	7.543507E2	2.416406E2	2.130038E-1
2.434688E2	7.553788E2	2.434688E2	2.043616E2	2.434688E2	2.251759E2	2.434688E2	6.249485E-1	2.434688E2	7.543511E2	2.434688E2	2.130410E-1
2.452969E2	7.553774E2	2.452969E2	2.041934E2	2.452969E2	2.250753E2	2.452969E2	6.247950E-1	2.452969E2	7.543491E2	2.452969E2	2.131035E-1
2.471250E2	7.553794E2	2.471250E2	2.041368E2	2.471250E2	2.249857E2	2.471250E2	6.247589E-1	2.471250E2	7.543584E2	2.471250E2	2.130678E-1
2.489531E2	7.553757E2	2.489531E2	2.042619E2	2.489531E2	2.250153E2	2.489531E2	6.249095E-1	2.489531E2	7.543492E2	2.489531E2	2.130265E-1
2.507813E2	7.553820E2	2.507813E2	2.042736E2	2.507813E2	2.251035E2	2.507813E2	6.249630E-1	2.507813E2	7.543552E2	2.507813E2	2.130859E-1
2.526094E2	7.553782E2	2.526094E2	2.040792E2	2.526094E2	2.249512E2	2.526094E2	6.247685E-1	2.526094E2	7.543519E2	2.526094E2	2.131484E-1
2.544375E2	7.553835E2	2.544375E2	2.044577E2	2.544375E2	2.254533E2	2.544375E2	6.250654E-1	2.544375E2	7.543514E2	2.544375E2	2.132010E-1
2.562813E2	7.553797E2	2.562813E2	2.082755E2	2.562813E2	2.292878E2	2.562813E2	6.269909E-1	2.562813E2	7.543526E2	2.562813E2	2.118850E-1
2.581094E2	7.553821E2	2.581094E2	2.107359E2	2.581094E2	2.319567E2	2.581094E2	6.281926E-1	2.581094E2	7.543539E2	2.581094E2	2.113186E-1
2.599375E2	7.553868E2	2.599375E2	2.105518E2	2.599375E2	2.315832E2	2.599375E2	6.281087E-1	2.599375E2	7.543636E2	2.599375E2	2.113167E-1
2.617656E2	7.553805E2	2.617656E2	2.103019E2	2.617656E2	2.312609E2	2.617656E2	6.279203E-1	2.617656E2	7.543578E2	2.617656E2	2.112761E-1
2.635938E2	7.553818E2	2.635938E2	2.106340E2	2.635938E2	2.317634E2	2.635938E2	6.281378E-1	2.635938E2	7.543494E2	2.635938E2	2.113423E-1
2.654219E2	7.553856E2	2.654219E2	2.104800E2	2.654219E2	2.315429E2	2.654219E2	6.279943E-1	2.654219E2	7.543570E2	2.654219E2	2.113263E-1
2.672500E2	7.553812E2	2.672500E2	2.103894E2	2.672500E2	2.314283E2	2.672500E2	6.280592E-1	2.672500E2	7.543531E2	2.672500E2	2.113249E-1
